Date,Close,High,Low,Open,Volume
2024-03-08,169.03,171.97,167.26,167.32,76267000
2024-03-11,171.03,172.65,170.34,171.22,60139500
2024-03-12,171.51,172.3,169.31,171.43,59825400
2024-03-13,169.43,171.47,169.06,171.05,52488700
2024-03-14,171.28,172.58,170.34,171.19,72913500
2024-03-15,170.91,170.91,168.6,169.47,121752700
2024-03-18,171.99,175.95,171.8,173.83,75604200
2024-03-19,174.33,174.86,171.31,172.61,55215200
2024-03-20,176.9,176.9,173.35,173.97,53423100
2024-03-21,169.67,175.73,169.14,175.29,106181300
2024-03-22,170.57,171.33,168.37,170.05,71160100
2024-03-25,169.15,170.23,167.77,168.88,54288300
2024-03-26,168.02,169.72,167.9,168.31,57388400
2024-03-27,171.59,171.88,168.42,168.72,60273300
2024-03-28,169.78,170.52,168.82,170.04,65672700
2024-04-01,168.34,169.55,167.8,169.49,46240500
2024-04-02,167.16,167.66,166.56,167.4,49329500
2024-04-03,167.97,168.98,166.91,167.11,47691700
2024-04-04,167.14,170.21,167.14,168.6,53704400
2024-04-05,167.9,168.7,167.27,167.91,42104800
2024-04-08,166.78,167.52,166.57,167.35,37425500
2024-04-09,167.99,168.39,166.68,167.02,42373800
2024-04-10,166.11,167.41,165.45,167.12,49709300
2024-04-11,173.3,173.72,166.49,166.67,91070300
2024-04-12,174.8,176.59,172.48,172.53,101670900
2024-04-15,170.98,174.88,170.79,173.62,73531800
2024-04-16,167.7,172.03,166.6,170.04,73711200
2024-04-17,166.33,168.96,166.33,167.93,50901200
2024-04-18,165.38,166.97,164.9,166.36,43122900
2024-04-19,163.36,164.75,162.45,164.56,68149400
2024-04-22,164.19,165.6,163.13,163.88,48116400
2024-04-23,165.24,165.39,163.28,163.71,49537800
2024-04-24,167.34,167.62,164.56,164.89,48251800
2024-04-25,168.2,168.92,166.48,167.85,50558300
2024-04-26,167.62,169.64,167.5,168.19,44838400
2024-04-29,171.78,174.28,171.38,171.65,68169400
2024-04-30,168.64,173.25,168.31,171.61,65934800
2024-05-01,167.62,170.99,167.43,167.9,50383100
