Date,Close,High,Low,Open,Volume
2024-06-12,434.24,436.54,426.55,428.58,22366200
2024-06-13,434.75,436.53,432.57,434.03,15960600
2024-06-14,435.72,436.28,429.96,431.5,13582000
2024-06-17,441.43,443.96,433.9,435.74,20790000
2024-06-18,439.43,443.18,438.01,442.75,17112500
2024-06-20,438.8,439.62,434.44,439.39,19877400
2024-06-21,442.82,443.61,439.6,440.46,34187100
2024-06-24,440.74,445.74,439.5,442.84,15913700
2024-06-25,443.97,444.44,439.84,441.31,16413400
2024-06-26,445.16,446.58,441.26,442.05,16507000
2024-06-27,445.84,449.11,444.78,445.18,14806300
2024-06-28,440.03,448.33,439.5,446.06,28362300
2024-07-01,449.66,450.29,438.76,441.72,17662800
2024-07-02,452.17,452.48,446.1,446.19,13979800
2024-07-03,453.64,453.89,450.8,451.1,9932800
2024-07-05,460.33,461.1,451.87,452.5,16000300
2024-07-08,459.03,460.46,457.27,459.33,12962300
2024-07-09,452.43,460.1,450.91,459.77,17207200
2024-07-10,459.04,459.24,451.76,454.08,18196100
2024-07-11,447.66,457.59,444.56,455.82,23111200
2024-07-12,446.53,449.3,443.68,447.3,16324300
2024-07-15,446.94,450.19,444.45,446.29,14429400
2024-07-16,442.56,447.27,439.75,447.19,17175700
2024-07-17,436.66,437.97,432.38,435.74,21778000
2024-07-18,433.56,437.77,427.68,437.46,20794800
2024-07-19,430.35,434.31,425.32,426.4,20940400
2024-07-22,436.09,437.72,432.12,434.95,15808800
2024-07-23,437.97,441.45,436.24,437.03,13107100
2024-07-24,422.26,434.65,420.97,433.64,26805800
2024-07-25,411.93,423.15,411.05,422.17,29943800
2024-07-26,418.69,422.28,410.81,411.73,23583800
2024-07-29,420.13,425.46,418.13,424.9,15125800
2024-07-30,416.38,422.41,410.9,421.1,32687600
2024-07-31,411.88,415.25,405.83,413.99,42891400
2024-08-01,410.66,420.85,406.7,414.28,30296400
2024-08-02,402.17,408.58,398.08,406.11,29437900
2024-08-05,389.04,394.83,379.61,383.15,40709200
2024-08-06,393.43,399.39,392.33,393.81,24946500
2024-08-07,392.27,403.73,391.32,402.32,20650900
